Date,S&P 500,NASDAQ,Dow Jones
1992-04-01 00:00:00-05:00,414.95001220703125,578.6799926757812,3359.10009765625
1992-05-01 00:00:00-04:00,415.3500061035156,585.3099975585938,3396.89990234375
1992-06-01 00:00:00-04:00,408.1400146484375,563.5999755859375,3318.5
1992-07-01 00:00:00-04:00,424.2099914550781,580.8300170898438,3393.800048828125
1992-08-01 00:00:00-04:00,414.0299987792969,563.1199951171875,3257.39990234375
1992-09-01 00:00:00-04:00,417.79998779296875,583.27001953125,3271.699951171875
1992-10-01 00:00:00-04:00,418.67999267578125,605.1699829101562,3226.300048828125
1992-11-01 00:00:00-05:00,431.3500061035156,652.72998046875,3305.199951171875
1992-12-01 00:00:00-05:00,435.7099914550781,676.9500122070312,3301.110107421875
1993-01-01 00:00:00-05:00,438.7799987792969,696.3400268554688,3310.0
1993-02-01 00:00:00-05:00,443.3800048828125,670.77001953125,3370.81005859375
1993-03-01 00:00:00-05:00,451.6700134277344,690.1300048828125,3435.110107421875
1993-04-01 00:00:00-05:00,440.19000244140625,661.4199829101562,3427.550048828125
1993-05-01 00:00:00-04:00,450.19000244140625,700.530029296875,3527.429931640625
1993-06-01 00:00:00-04:00,450.5299987792969,703.9500122070312,3516.080078125
1993-07-01 00:00:00-04:00,448.1300048828125,704.7000122070312,3539.469970703125
1993-08-01 00:00:00-04:00,463.55999755859375,742.8400268554688,3651.25
1993-09-01 00:00:00-04:00,458.92999267578125,762.780029296875,3555.1201171875
1993-10-01 00:00:00-04:00,467.8299865722656,779.260009765625,3680.590087890625
1993-11-01 00:00:00-05:00,461.7900085449219,754.3900146484375,3683.949951171875
1993-12-01 00:00:00-05:00,466.45001220703125,776.7999877929688,3754.090087890625
1994-01-01 00:00:00-05:00,481.6099853515625,800.469970703125,3978.360107421875
1994-02-01 00:00:00-05:00,467.1400146484375,792.5,3832.02001953125
1994-03-01 00:00:00-05:00,445.7699890136719,743.4600219726562,3635.9599609375
1994-04-01 00:00:00-05:00,450.9100036621094,733.8400268554688,3681.68994140625
1994-05-01 00:00:00-04:00,456.5,735.1900024414062,3758.3701171875
1994-06-01 00:00:00-04:00,444.2699890136719,705.9600219726562,3624.9599609375
1994-07-01 00:00:00-04:00,458.260009765625,722.1599731445312,3764.5
1994-08-01 00:00:00-04:00,475.489990234375,765.6199951171875,3913.419921875
1994-09-01 00:00:00-04:00,462.7099914550781,764.2899780273438,3843.18994140625
1994-10-01 00:00:00-04:00,472.3500061035156,777.489990234375,3908.1201171875
1994-11-01 00:00:00-05:00,453.69000244140625,750.3200073242188,3739.22998046875
1994-12-01 00:00:00-05:00,459.2699890136719,751.9600219726562,3834.43994140625
1995-01-01 00:00:00-05:00,470.4200134277344,755.2000122070312,3843.860107421875
1995-02-01 00:00:00-05:00,487.3900146484375,793.72998046875,4011.050048828125
1995-03-01 00:00:00-05:00,500.7099914550781,817.2100219726562,4157.68994140625
1995-04-01 00:00:00-05:00,514.7100219726562,843.97998046875,4321.27001953125
1995-05-01 00:00:00-04:00,533.4000244140625,864.5800170898438,4465.14013671875
1995-06-01 00:00:00-04:00,544.75,933.4500122070312,4556.10009765625
1995-07-01 00:00:00-04:00,562.0599975585938,1001.2100219726562,4708.47021484375
1995-08-01 00:00:00-04:00,561.8800048828125,1020.1099853515625,4610.56005859375
1995-09-01 00:00:00-04:00,584.4099731445312,1043.5400390625,4789.080078125
1995-10-01 00:00:00-04:00,581.5,1036.06005859375,4755.47998046875
1995-11-01 00:00:00-05:00,605.3699951171875,1059.199951171875,5074.490234375
1995-12-01 00:00:00-05:00,615.9299926757812,1052.1300048828125,5117.1201171875
1996-01-01 00:00:00-05:00,636.02001953125,1059.7900390625,5395.2998046875
1996-02-01 00:00:00-05:00,640.4299926757812,1100.050048828125,5485.6201171875
1996-03-01 00:00:00-05:00,645.5,1101.4000244140625,5587.14013671875
1996-04-01 00:00:00-05:00,654.1699829101562,1190.52001953125,5569.080078125
1996-05-01 00:00:00-04:00,669.1199951171875,1243.4300537109375,5643.18017578125
1996-06-01 00:00:00-04:00,670.6300048828125,1185.02001953125,5654.6298828125
1996-07-01 00:00:00-04:00,639.9500122070312,1080.5899658203125,5528.91015625
1996-08-01 00:00:00-04:00,651.989990234375,1141.5,5616.2099609375
1996-09-01 00:00:00-04:00,687.3300170898438,1226.9200439453125,5882.169921875
1996-10-01 00:00:00-04:00,705.27001953125,1221.510009765625,6029.3798828125
1996-11-01 00:00:00-05:00,757.02001953125,1292.6099853515625,6521.7001953125
1996-12-01 00:00:00-05:00,740.739990234375,1291.030029296875,6448.27001953125
1997-01-01 00:00:00-05:00,786.1599731445312,1379.8499755859375,6813.08984375
1997-02-01 00:00:00-05:00,790.8200073242188,1309.0,6877.740234375
1997-03-01 00:00:00-05:00,757.1199951171875,1221.699951171875,6583.47998046875
1997-04-01 00:00:00-05:00,801.3400268554688,1260.760009765625,7009.0
1997-05-01 00:00:00-04:00,848.280029296875,1400.3199462890625,7331.0
1997-06-01 00:00:00-04:00,885.1400146484375,1442.0699462890625,7672.7998046875
1997-07-01 00:00:00-04:00,954.3099975585938,1593.81005859375,8222.599609375
1997-08-01 00:00:00-04:00,899.469970703125,1587.3199462890625,7622.39990234375
1997-09-01 00:00:00-04:00,947.280029296875,1685.68994140625,7945.2998046875
1997-10-01 00:00:00-04:00,914.6199951171875,1593.6099853515625,7442.10009765625
1997-11-01 00:00:00-05:00,955.4000244140625,1600.550048828125,7823.10009765625
1997-12-01 00:00:00-05:00,970.4299926757812,1570.3499755859375,7908.2998046875
1998-01-01 00:00:00-05:00,980.280029296875,1619.3599853515625,7906.5
1998-02-01 00:00:00-05:00,1049.3399658203125,1770.510009765625,8545.7197265625
1998-03-01 00:00:00-05:00,1101.75,1835.6800537109375,8799.8095703125
