,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
1993-06,,141.349,567.291,354.819,522.417,455.447,250.8099908326645,252.58341635238418,107.6010689679158,188.71503435601724
1993-07,,144.013,578.019,363.231,523.221,453.748,249.47391454738573,252.85252290679753,108.31685967476257,192.5553870438973
1993-08,,150.583,603.556,393.46,568.124,468.342,258.06378943262416,266.53749347655315,111.73761528167772,203.3178665598388
1993-09,,147.797,591.436,407.469,565.329,461.656,255.48626632570617,273.6921406125547,108.79579429906192,202.63160777676842
1993-10,,151.915,606.772,443.777,587.867,470.628,260.4408917527279,279.6053016268814,112.63549722705348,211.72630721417147
1993-11,,143.762,571.488,463.173,574.169,465.971,257.0784367824216,270.68173003452966,112.7383176613484,205.8840904450137
1993-12,,151.279,598.496,539.344,616.274,471.495,259.67266020581314,278.7226242444244,114.8847857510393,222.85260106167297
1994-01,,161.054,637.008,548.878,646.648,488.364,268.1122152536579,287.2156209697253,121.74802359057296,234.07249073731413
1994-02,,158.466,627.79,538.779,622.72,472.955,260.0567844738364,284.3559258301339,117.26964154579113,230.40940864489073
1994-03,,151.071,599.737,489.211,604.035,451.432,248.16009402465053,266.7599531428724,111.26970086814605,216.84292290309187
1994-04,,154.903,617.299,478.355,627.974,456.138,251.02153950075058,263.30821482359266,112.66915556570328,219.84418829365367
1994-05,100.0,155.536,617.906,493.66,600.2,462.582,254.13348972395377,263.79259786155774,115.01576562559421,222.10569053558916
1994-06,99.9773353502325,154.502,615.194,479.18,592.783,447.575,247.32504422270986,253.3046254222036,110.93307265367199,219.4688760698814
1994-07,101.43016486622763,157.656,625.894,508.729,622.737,461.999,255.11328692808638,259.11730947757457,115.20335576251304,226.20102895767542
1994-08,104.60041458482945,162.998,643.738,571.296,641.362,479.633,264.705214780001,274.71114516796274,119.76068734436754,239.06119134273354
1994-09,102.05025949750689,158.893,625.806,577.286,614.77,469.689,257.5905911470314,274.2339234128177,117.61146980548169,235.15164258802042
1994-10,104.15043215629952,162.678,642.57,566.108,640.354,478.459,262.9571860289536,278.97020315048263,119.59849972718442,238.1951144166261
1994-11,98.99435166368715,155.33,613.676,535.995,614.671,460.515,252.56916445411542,269.22137583791937,114.4300283484649,226.8964901573779
1994-12,99.73846522122226,155.596,618.59,492.578,617.002,466.323,255.67554224211685,269.809827426224,117.34369736215004,222.6545358336893
1995-01,97.62912483892819,152.153,608.263,439.837,610.993,476.047,261.88275936118146,270.97236423729817,117.6319786045036,212.90059663649706
1995-02,98.05160409695377,153.493,616.074,428.107,623.62,494.2,271.3299568000359,284.7972535713887,122.74841964574095,213.1110165399864
1995-03,102.17351444680428,160.21,644.674,429.803,651.249,506.853,278.74518612952926,293.2220976601877,127.23597648294493,220.2895725148054
1995-04,105.17059605482298,165.732,666.043,448.288,670.769,521.355,286.5390012701075,302.8273927170849,132.2419464486493,228.2431964548266
1995-05,105.58772747413938,167.244,670.635,470.954,683.201,540.758,296.9437231614192,310.2188658849407,136.6447410545587,232.80680247470715
1995-06,105.61268405478224,166.966,669.317,471.383,688.312,552.813,303.2622530714651,334.9300220028772,139.42834916719707,232.55014787860296
1995-07,110.6554412985571,174.737,701.687,481.278,722.839,570.062,312.8987264267303,359.2429056762693,144.09126557520008,241.8873480956592
1995-08,108.56927488400284,170.611,684.957,469.281,693.595,569.084,312.798524527889,366.02437770751783,141.09496365908058,236.0414166284821
1995-09,110.91366551051487,175.0,703.797,466.406,713.212,592.045,325.3409548843414,374.4312857393455,146.55813415205157,240.15227744103242
1995-10,108.5646910222521,171.776,691.604,448.106,708.503,590.477,323.7209732190123,371.7474033779793,145.52988498112632,234.41309932287493
1995-11,111.45787176392092,176.881,714.509,439.69,712.22,615.181,337.00939634896764,380.0501990595725,155.2924169967064,238.5267405281689
1995-12,114.5593635562618,181.895,734.28,458.369,733.448,623.24,342.8881455954996,377.5134405452561,156.59700075438013,246.18683266275036
1996-01,116.53577194778472,185.639,746.451,490.519,736.94,644.915,354.0722608932614,380.26192775163537,165.11001270947833,254.22355097444535
1996-02,117.33234525646705,186.093,749.857,481.92,748.998,649.903,356.52729236053113,394.707571096537,167.87404593926155,253.69856003762817
1996-03,118.85367803973699,188.636,761.184,484.796,756.568,655.711,359.3497647684823,395.191954134502,170.98081893091404,256.83534520255694
1996-04,122.38350624678492,192.895,777.929,502.463,760.684,665.194,364.1763431097858,427.16898722159965,170.42813481475847,263.5982502840458
1996-05,122.39420192420329,192.759,777.437,498.991,765.168,681.459,372.4990129314475,446.1535698775859,172.69578786624737,262.93511553775284
1996-06,122.21263006707717,193.484,780.202,501.041,772.185,683.176,373.33963516858995,425.1955391559016,173.0461782693547,263.91378053502586
1996-07,116.81767944545459,185.927,751.451,465.872,761.075,652.464,356.2600872969544,387.72512324742934,169.19883217145446,251.54861305910288
1996-08,118.40675151904085,187.894,758.902,477.132,782.207,666.689,362.9627414750236,409.5801758171582,171.87043011471704,255.11852989086745
1996-09,122.06467319612307,194.511,787.436,480.616,797.231,702.334,382.63652975918245,440.2296340891078,180.00948709398835,262.3919410845315
1996-10,121.72521276758292,194.976,791.751,467.432,814.284,721.099,392.62372674952377,438.28846654596873,184.51448948518728,261.2391033065066
1996-11,127.04478432930462,205.077,834.929,474.708,854.069,774.373,421.43294491647805,463.7997591443778,199.58075382575024,272.4316695053778
1996-12,125.19876133869134,201.784,820.362,476.315,869.129,757.893,412.36985475651517,463.23285710437585,197.33360210195391,269.3811640870487
1997-01,126.42850958281764,204.858,829.082,508.415,870.096,807.845,437.6551532453659,495.10223004975006,208.49802446845413,276.8317974202643
1997-02,127.5556302555248,207.339,837.44,529.859,880.185,811.743,440.24939365788913,469.68063963614554,210.47649224674007,282.28819730624815
1997-03,124.36246122816934,202.842,819.678,514.608,907.148,774.018,421.48860131196875,438.3566191824706,201.4713737137266,275.6595473154179
1997-04,126.47154695147726,208.993,845.281,513.702,901.196,822.065,446.1058871418776,452.3717095602688,214.4933777498881,281.5411948560228
1997-05,134.86739906591083,221.109,896.244,527.013,938.207,868.632,472.23738030307254,502.44703442956444,224.3474036644928,295.6118940707426
