,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
1973-09,,,125.110,,126.939,114.925,,,
1973-10,,,126.136,,129.984,115.646,,,
1973-11,,,109.548,,110.038,103.516,,,
1973-12,,,108.410,,106.272,104.931,,,
1974-01,,,109.006,,105.850,103.500,,,
1974-02,,,110.459,,108.841,103.599,,,
1974-03,,,107.416,,104.132,100.887,,,
1974-04,,,105.382,,108.322,96.649,,,
1974-05,,,100.892,,99.629,93.066,,,
1974-06,,,97.476,,94.202,91.218,,,
1974-07,,,91.462,,92.889,84.582,,,
1974-08,,,82.390,,83.036,76.891,,,
1974-09,,,74.454,,74.679,68.080,,,
1974-10,,,81.329,,77.675,79.041,,,
1974-11,,,79.808,,77.478,75.030,,,
1974-12,,,78.237,,77.731,73.599,,,
1975-01,,,89.398,,95.681,82.501,,,
1975-02,,,97.047,,107.948,86.994,,,
1975-03,,,97.510,,104.237,88.464,,,
1975-04,,,101.300,,111.395,91.734,,,
1975-05,,,103.447,,109.336,95.350,,,
1975-06,,,104.505,,102.035,99.341,,,
