,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
1969-12,,,,,,,,,,
1970-01,,,-0.05751000000000006,,-0.010669999999999957,-0.06653000000000009,,,,
1970-02,,,0.0289658245710831,,-0.03311331911495674,0.05148531822126068,,,,
1970-03,,,0.0009899050309860602,,0.010516742109830002,0.003677931392825462,,,,
1970-04,,,-0.09554468194694832,,-0.07570631989489252,-0.09003796414722776,,,,
1970-05,,,-0.06537585421412295,,-0.055772567015501706,-0.061342644237205035,,,,
1970-06,,,-0.027089934194491794,,0.009245868993148498,-0.036579713589636964,,,,
1970-07,,,0.05947117251399714,,0.044983674332292,0.07005316589981136,,,,
1970-08,,,0.030620086303718264,,0.005069010475205804,0.03759251147026954,,,,
1970-09,,,0.029974189848006816,,0.00846538362613658,0.03308631550879371,,,,
1970-10,,,-0.016973314919588423,,-0.007584830339321447,-0.01059310641501321,,,,
1970-11,,,0.02006480558325019,,-0.048259140073299234,0.050282608695652264,,,,
1970-12,,,0.04728161270616993,,0.020838958873874214,0.05187009707532142,,,,
1971-01,,,0.04377889958851222,,0.04005658294231296,0.04191345756508391,,,,
1971-02,,,0.008484047957732166,,0.00048653729197756235,0.007611097471151407,,,,
1971-03,,,0.04183164576091891,,0.030415897611600462,0.03800232418653482,,,,
1971-04,,,0.030752270155792294,,0.03904280764981616,0.0323043725566321,,,,
1971-05,,,-0.025594115605092616,,0.025312012883112578,-0.0394885295223768,,,,
1971-06,,,0.008203429649813687,,0.0061214421634465666,0.0037333139079600564,,,,
1971-07,,,-0.017906428168960264,,0.04300967667690703,-0.03437295885042457,,,,
1971-08,,,0.019847135244466907,,-0.0033388020608468016,0.03808611181571364,,,,
1971-09,,,-0.011451509863935838,,-0.022015575514290453,-0.014344280840203782,,,,
1971-10,,,-0.03989351441027811,,-0.03558281000846497,-0.03882033201116508,,,,
1971-11,,,0.006389391199517647,,0.02486247052939916,0.0022448511711437025,,,,
1971-12,,,0.08801509343555325,,0.06560772792909408,0.06280082730487324,,,,
1972-01,,,0.03469030121200456,,0.057138584899488754,0.020133084621731134,,,,
1972-02,,,0.03648003972546876,,0.05213186346879772,0.026161947377212114,,,,
1972-03,,,0.012054274176989788,,0.025694456114406794,0.01283314343479347,,,,
1972-04,,,0.011471127754719035,,0.016965397470345422,-5.920813350590581e-05,,,,
1972-05,,,0.018620355357948926,,0.014886058819264969,0.0007274572830315851,,,,
1972-06,,,-0.024950361825372136,,-0.052400568294560745,-0.016693996923232923,,,,
1972-07,,,0.013673732129483973,,0.050281014163783944,-0.006576063130206089,,,,
1972-08,,,0.026663124865107246,,0.00431446982263628,0.03619576692106663,,,,
1972-09,,,-0.016882549847183737,,-0.0607942318534459,0.0004509432229078403,,,,
1972-10,,,0.006505469199769687,,-0.003948358514334949,0.009031493368279575,,,,
1972-11,,,0.05074317091705427,,0.024828113063407153,0.03632377879803106,,,,
1972-12,,,0.016688570739787245,,-0.010013666293949619,0.016475621827006126,,,,
1973-01,,,0.0006731070775678472,,0.0023760520723525858,-0.02191770064394527,,,,
1973-02,,,0.005274221287980163,,0.06732326183123272,-0.044705296710531695,,,,
1973-03,,,-0.0002965441204424435,,0.02594701116706788,-0.012094368008337408,,,,
1973-04,,,-0.0520627338829901,,0.0031556321173225044,-0.039254053870106054,,,,
1973-05,,,-0.004693856263690344,,0.012294085465929028,-0.01882615471805038,,,,
1973-06,,,0.004554761943150076,,0.03615660606788462,0.001218389559755062,,,,
1973-07,,,0.02198842798789835,,-0.055504444267366004,0.037165237927832884,,,,
1973-08,,,-0.04341544236009143,,-0.04450034897722832,-0.03299148270467589,,,,
1973-09,,,0.026990198814663913,,0.018943802727586556,0.03290372447512224,,,,
1973-10,,,0.008200783310686521,,0.02398789969985593,0.006273656732651789,,,,
1973-11,,,-0.13150884759307413,,-0.153449655342196,-0.10488905798730608,,,,
1973-12,,,-0.01038814035856428,,-0.03422454061324265,0.013669384442984489,,,,
1974-01,,,0.005497647818466955,,-0.0039709424872027554,-0.013637533236126598,,,,
1974-02,,,0.013329541493128927,,0.02825696740670769,0.0009565217391305225,,,,
1974-03,,,-0.027548683221829018,,-0.04326494611405618,-0.026177858859641523,,,,
1974-04,,,-0.01893572652118858,,0.04023739100372592,-0.04200739441156942,,,,
1974-05,,,-0.04260689681349761,,-0.08025147246173447,-0.0370722925224265,,,,
1974-06,,,-0.033857986758117575,,-0.05447209145931409,-0.019856875765585702,,,,
1974-07,,,-0.061697238294554535,,-0.013938132948345117,-0.07274879957903058,,,,
1974-08,,,-0.09918873411908768,,-0.10607283962578984,-0.09092951218935452,,,,
1974-09,,,-0.0963223692195656,,-0.10064309456139509,-0.11459078435707704,,,,
1974-10,,,0.09233889381362981,,0.04011837330440948,0.16100176263219734,,,,
1974-11,,,-0.018701816080364808,,-0.0025362085613132024,-0.050745815462860944,,,,
1974-12,,,-0.019684743384122072,,0.003265443093523279,-0.01907237105157933,,,,
1975-01,,,0.14265628794560126,,0.23092459893736095,0.12095273033601006,,,,
1975-02,,,0.08556119823709696,,0.12820727208118643,0.054459945940049215,,,,
1975-03,,,0.0047708842107432314,,-0.03437766331937597,0.016897717083936836,,,,
1975-04,,,0.03886780842990456,,0.06867043372315007,0.0369641888225718,,,,
1975-05,,,0.0211944718657453,,-0.01848377395753842,0.039418318180827194,,,,
1975-06,,,0.010227459471999989,,-0.06677581034608915,0.04185631882538021,,,,
1975-07,,,-0.057624037127410044,,-0.040829127260253784,-0.06141472302473294,,,,
